Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2012;2012/05;10.375.406/0001-02;33A SHALON EUSHADAI LTDA;AV. NOVE DE JULHO, 3333;13200-000;Sem Informação;Jundiaí;São Paulo
2009;2009/01;74.591.082/0001-22;377 BRILHANTE C.SERV.AUT.LTDA ME;R.LICIO MARCONDES DO AMARAL,565;05616-100;VILA PROGREDIOR;São Paulo;São Paulo
2012;2012/03;08.985.177/0001-04;3A ALUMINIO INDUSTRIA E COM. LTDA;RUA YOSHIHARU AGAWA,90;06756-320;JD. MONTE ALEGRE;Taboão da Serra;São Paulo
2011;2011/05;08.985.177/0001-04;3A ALUMINIO INDUSTRIA E COM. LTDA;RUA YOSHIHARU AGAWA,90;06756-320;JD. MONTE ALEGRE;Taboão da Serra;São Paulo
2010;2010/08;01.149.955/0001-78;3A PAPÉIS E LIVRARIA LTDA.;RUA TIRADENTES, 3123;15010-030;CENTRO;São José do Rio Preto;São Paulo
2009;2009/04;Sem Informação;3ANDRA B. DELAROLI;AL. DAS SUCUPIRAS, 41;13200-000;TERRAS DE SAO CARLOS;Jundiaí;São Paulo
2009;2009/11;05.451.600/0001-90;3C ETIQUETAS, GRAFICA E EDITORA LTDA.;RUA HONORIO ALVARES PENTEADO,97;06543-320;TAMBORE;Santana de Parnaíba;São Paulo
2008;2008/12;72.938.467/0001-98;3COM DO BRASIL SERVICOS LTDA;AV. ALF. EG SOUZA AR,177;04726-170;CHACARA STO ANTONIO;São Paulo;São Paulo
2011;2011/07;57.789.836/0001-34;3-D INDUSTRIA E COMERCIO DE PLÁSTICOS LTDA;RUA TRÊS, 44;SI;Sem Informação;São Bernardo do Campo;São Paulo
2010;2010/06;04.821.956/0001-05;3D PLASTICOS LTDA EPP;RUA JAGUARÃO, 485;12238-410;CHACARAS REUNIDAS;São José dos Campos;São Paulo
2010;2010/06;11.140.934/0001-45;3D PLÁSTICOS SERVIÇOS LTDA ME;RUA JAGUARãO, 485;12238-410;CHACARAS REUNIDAS;São José dos Campos;São Paulo
2009;2009/03;02.983.288/0001-97;3D-CAM COMERCIO E SERVICOS LTDA ME;R PROFESSORA LEONITA FABER LADEIRA 1414;13203-770;JD DO LAGO;Jundiaí;São Paulo
2009;2009/02;00.157.494/0001-12;3G COMERCIO DE CALCADOS LTDA - EPP;AV NOSSA SENHORA DE FATIMA 984;13076-000;TAQUARAL;Campinas;São Paulo
2010;2010/10;10.702.328/0001-03;3G PARK ESTACIONAMENTO DE VEÍCULO LTDA ME;RUA DR ZUQUIM, 1041;02035-011;SANTANA;São Paulo;São Paulo
2011;2011/08;06.173.204/0012-63;3GK DO BRASIL S/A;R ALEXANDRE MARTINS,80;11025-200;APARECIDA;Santos;São Paulo
2008;2008/07;01.517.236/0001-62;3H TERCEIRIZACAO E SERVICOS LTDA;RUA ARAçUAI, 378;12233-380;BQ DOS EUCALIPTOS;São José dos Campos;São Paulo
2010;2010/01;01.517.236/0001-62;3H TERCEIRIZACAO E SERVICOS LTDA;RUA ARACUAI,378;12233-380;BOSQUE EUCALIPTOS;São José dos Campos;São Paulo
