Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2011;2011/12;83.646.984/0007-03;A ANGELONI E CIA LTDA;RUA 13 DE MAIO, 12;88790-000;CENTRO;Laguna;Santa Catarina;;
2011;2011/04;83.646.984/0022-34;A ANGELONI E CIA LTDA;RUA BARAO DO RIO BRANCO 732;89251-400;CENTRO;Jaraguá do Sul;Santa Catarina;;
2009;2009/10;83.646.984/0037-10;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina;;
2008;2008/09;83.646.984/0037-10;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina;;
2010;2010/03;83.646.984/0037-10;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina;;
2008;2008/09;83.646.984/0036-30;A ANGELONI E CIA LTDA;RUA BRUSQUE,358;88303-000;CENTRO;Itajaí;Santa Catarina;;
2008;2008/09;83.646.984/0067-36;A ANGELONI E CIA LTDA;RUA CEL BERNARDO GRUBBA 247;89251-090;CENTRO;Jaraguá do Sul;Santa Catarina;;
2008;2008/11;83.646.984/0050-98;A ANGELONI E CIA LTDA;RUA DR JOAO COLIN,2500;89204-002;AMERICA;Joinville;Santa Catarina;;
2008;2008/08;83.646.984/0050-98;A ANGELONI E CIA LTDA;RUA DR JOAO COLIN,2500;89204-002;AMERICA;Joinville;Santa Catarina;;
2010;2010/05;83.646.984/0040-16;A ANGELONI E CIA LTDA;RUA LAURO LINHARES,996;88036-000;TRINDADE;Florianópolis;Santa Catarina;;
2008;2008/09;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina;;
2008;2008/08;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina;;
2009;2009/09;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina;;
2009;2009/08;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina;;
2008;2008/10;83.646.984/0035-59;A ANGELONI E CIA LTDA;RUA NIRBERTO HAASE,75;88035-215;SANTA MONICA;Florianópolis;Santa Catarina;;
2009;2009/01;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina;;
2008;2008/09;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina;;
2010;2010/04;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina;;
2009;2009/08;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina;;
2011;2011/03;83.646.984/0021-53;A ANGELONI E CIA LTDA;SETE DE SETEMBRO,100;89010-200;GARCIA;Blumenau;Santa Catarina;;
2008;2008/09;83.646.984/0007-03;A ANGELONI E CIA LTDA;TREZE DE MAIO,12;88790-000;CENTRO;Laguna;Santa Catarina;;
2008;2008/08;04.400.217/0001-40;A BALA HIDRO ILHA DESENTUPIDORA LTDA ME;R SERVIDAO DAMAS MARQUES, 07;88058-000;RIO VERMELHO;Florianópolis;Santa Catarina;;
2009;2009/08;83.707.836/0001-58;A BAROSSI TEC DE SOLOS E CONCRETOS LTDA;RUA JOAO CARVALHO,87;88025-010;AGRONOMICA;Florianópolis;Santa Catarina;;
2009;2009/09;78.862.497/0001-44;A BENTHIEN CIA LTDA;RUA CELSO RAMOS,3149;89124-000;CENTRO;Benedito Novo;Santa Catarina;;
2011;2011/04;78.862.497/0002-25;A BENTHIEN CIA LTDAFILIAL APIUNA;RUA QUINTINO BOCAIUVA,960;89135-000;CENTRO;Apiúna;Santa Catarina;;
2009;2009/08;78.259.280/0002-25;A BITTENCOURT MAT DE CONSTRUCAO LTDA;R ESTEFANO JOSE VANOLLI 1225;88308-010;SAO VICENTE;Itajaí;Santa Catarina;;
2008;2008/10;78.259.280/0002-25;A BITTENCOURT MAT DE CONSTRUCAO LTDA;R ESTEFANO JOSE VANOLLI 1225;88308-010;SAO VICENTE;Itajaí;Santa Catarina;;
2010;2010/09;78.259.280/0006-59;A BITTENCOURT MATERIAIS DE CONSTRUCAO LTDA;R 14 DE MAIO 726;88375-000;CENTRO;Navegantes;Santa Catarina;;
2010;2010/09;78.259.280/0003-06;A BITTENCOURT MATERIAIS DE CONSTRUCAO LTDA;R BRUSQUE 162;88303-000;CENTRO;Itajaí;Santa Catarina;;
2010;2010/09;78.259.280/0001-44;A BITTENCOURT MATERIAIS DE CONSTRUCAO LTDA;R REINALDO SCHMITHAUSEN 2199;88310-001;CORDEIROS;Itajaí;Santa Catarina;;
2008;2008/06;78.259.280/0004-97;A BITTENCOURT MATERIAIS DE CONSTRUçãO LTDA;AV SETE DE SETEMBRO 573;88301-200;CENTRO;Itajaí;Santa Catarina;;
